method,fixed_axis,fixed_value,varying_axis,varying_start,varying_end,delta
both_average,etcone_max,8.25,ptcone_max,4.5,5.5,3.2562390257162406
both_average,etcone_max,8.25,ptcone_max,5.5,6.5,2.882339949454945
both_average,etcone_max,9.25,ptcone_max,2.5,3.5,8.433975695588288
both_average,etcone_max,9.25,ptcone_max,3.5,4.5,3.68065899842577
both_average,etcone_max,9.25,ptcone_max,4.5,5.5,3.276074888024141
both_average,etcone_max,9.25,ptcone_max,5.5,6.5,2.9046357777056073
both_average,etcone_max,10.25,ptcone_max,2.5,3.5,8.440817844468711
both_average,etcone_max,10.25,ptcone_max,3.5,4.5,3.6895896881401313
both_average,etcone_max,10.25,ptcone_max,4.5,5.5,3.28094415853775
both_average,etcone_max,10.25,ptcone_max,5.5,6.5,2.9233946776794255
both_average,etcone_max,11.25,ptcone_max,2.5,3.5,8.445346597452499
both_average,etcone_max,11.25,ptcone_max,3.5,4.5,3.6939920639288175
both_average,etcone_max,11.25,ptcone_max,4.5,5.5,3.2851918284877684
both_average,etcone_max,11.25,ptcone_max,5.5,6.5,2.93327411347218
both_average,ptcone_max,2.5,etcone_max,7.25,8.25,0.5947518195002885
both_average,ptcone_max,2.5,etcone_max,8.25,9.25,0.813955913171867
both_average,ptcone_max,2.5,etcone_max,9.25,10.25,1.0649017454079512
both_average,ptcone_max,2.5,etcone_max,10.25,11.25,1.287949923315864
both_average,ptcone_max,3.5,etcone_max,7.25,8.25,0.6080875842553723
both_average,ptcone_max,3.5,etcone_max,8.25,9.25,0.8280101145310255
both_average,ptcone_max,3.5,etcone_max,9.25,10.25,1.0717438942883746
both_average,ptcone_max,3.5,etcone_max,10.25,11.25,1.2924786762996519
both_average,ptcone_max,4.5,etcone_max,7.25,8.25,0.6031153569597336
both_average,ptcone_max,4.5,etcone_max,8.25,9.25,0.8338857484332038
both_average,ptcone_max,4.5,etcone_max,9.25,10.25,1.080674584002736
both_average,ptcone_max,4.5,etcone_max,10.25,11.25,1.296881052088338
both_average,ptcone_max,5.5,etcone_max,7.25,8.25,0.6331764119922809
both_average,ptcone_max,5.5,etcone_max,8.25,9.25,0.8537216107411041
both_average,ptcone_max,5.5,etcone_max,9.25,10.25,1.0855438545163452
both_average,ptcone_max,5.5,etcone_max,10.25,11.25,1.3011287220383565
both_average,ptcone_max,6.5,etcone_max,7.25,8.25,0.6778304525905696
both_average,ptcone_max,6.5,etcone_max,8.25,9.25,0.8760174389917665
both_average,ptcone_max,6.5,etcone_max,9.25,10.25,1.1043027544901634
both_average,ptcone_max,6.5,etcone_max,10.25,11.25,1.311008157831111
